LSOA11_CD,trips_per_day
E01000001,10335.00
E01000002,6994.00
E01000003,1161.00
E01000005,51948.00
E01000007,7794.00
E01000008,468.00
E01000009,6211.00
E01000010,15052.00
E01000011,964.00
E01000012,977.00
E01000013,6423.00
E01000014,1094.00
E01000015,338.00
E01000016,3246.00
E01000017,2756.00
E01000019,468.00
E01000020,2288.00
E01000021,936.00
E01000023,4640.00
E01000024,2924.00
E01000025,1590.00
E01000027,4781.00
E01000029,443.00
E01000030,2234.00
E01000031,1478.00
E01000033,221.00
E01000034,2607.00
E01000035,3247.00
E01000036,4048.00
E01000037,1041.00
E01000038,1557.00
E01000039,1557.00
E01000040,776.00
E01000041,770.00
E01000042,570.00
E01000043,3031.00
E01000045,3522.00
E01000046,536.00
E01000048,536.00
E01000049,1428.00
E01000050,3503.00
E01000051,2170.00
E01000052,2864.00
E01000053,1738.00
E01000057,1747.00
E01000058,1264.00
E01000060,6663.00
E01000061,4119.00
E01000062,763.00
E01000063,1849.00
E01000064,1273.00
E01000065,5314.00
E01000067,6609.00
E01000068,3110.00
E01000070,4837.00
E01000071,3056.00
E01000072,1170.00
E01000073,702.00
E01000075,5137.00
E01000077,3110.00
E01000078,1273.00
E01000079,696.00
E01000080,1273.00
E01000082,1021.00
E01000083,4573.00
E01000084,2156.00
E01000085,3165.00
E01000086,1120.00
E01000087,7165.00
E01000088,321.00
E01000090,5731.00
E01000091,7210.00
E01000092,13270.00
E01000093,4875.00
E01000094,4529.00
E01000095,11533.00
E01000096,3957.00
E01000097,3212.00
E01000098,3149.00
E01000099,1870.00
E01000100,1497.00
E01000101,4031.00
E01000102,800.00
E01000103,1810.00
E01000104,2476.00
E01000105,1407.00
E01000106,945.00
E01000108,561.00
E01000109,698.00
E01000110,950.00
E01000111,955.00
E01000112,3704.00
E01000113,5267.00
E01000114,1524.00
E01000115,252.00
E01000116,828.00
E01000117,421.00
E01000118,3003.00
E01000119,615.00
E01000120,583.00
E01000121,159.00
E01000122,926.00
E01000123,804.00
E01000124,2399.00
E01000125,42050.00
E01000126,2529.00
E01000127,1992.00
E01000128,835.00
E01000129,130391.00
E01000130,2858.00
E01000131,41261.00
E01000132,253.00
E01000133,2807.00
E01000134,1610.00
E01000135,4812.00
E01000136,4677.00
E01000137,687.00
E01000138,4396.00
E01000139,7159.00
E01000140,11140.00
E01000141,18337.00
E01000142,2935.00
E01000143,3388.00
E01000144,5306.00
E01000145,1838.00
E01000146,12163.00
E01000147,286.00
E01000148,125136.00
E01000150,82767.00
E01000151,2363.00
E01000152,1009.00
E01000154,2336.00
E01000155,6012.00
E01000156,4670.00
E01000158,522.00
